company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_code,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year,raised_amount_usd,id
"/company/abaxx-technology",abaXX Technology,software,DEU,,Stuttgart,Stuttgart,/financial-organization/baytech-venture-capital,BayTech Venture Capital,,DEU,,Munich,M�_nchen,series-c+,3/9/06,2006-03,2006-Q1,2006.0,4540000.0,13809
"/company/aisle411",aisle411,mobile,USA,MO,Saint Louis,St. Louis,/financial-organization/billiken-angels-network,Billiken Angels Network,,,,unknown,,series-a,9/4/13,2013-09,2013-Q3,2013.0,6500000.0,15030
"/company/argen-x",arGEN-X,biotech,NLD,,Rotterdam,Rotterdam,/financial-organization/biogeneration-ventures,BioGeneration Ventures,,NLD,,NAARDEN,Naarden,series-a,9/10/09,2009-09,2009-Q3,2009.0,1.36E7,15085
"/company/argen-x",arGEN-X,biotech,NLD,,Rotterdam,Rotterdam,/financial-organization/biogeneration-ventures,BioGeneration Ventures,,NLD,,NAARDEN,Naarden,series-a,2/11/10,2010-02,2010-Q1,2010.0,4500000.0,15087
"/company/adfreeq",adFreeq,advertising,USA,MO,Saint Louis,Columbia,/financial-organization/capital-innovators,Capital Innovators,,USA,MO,Saint Louis,St. Louis,angel,9/19/12,2012-09,2012-Q3,2012.0,50000.0,17149
"/company/aisle411",aisle411,mobile,USA,MO,Saint Louis,St. Louis,/financial-organization/capital-innovators,Capital Innovators,,USA,MO,Saint Louis,St. Louis,angel,1/1/12,2012-01,2012-Q1,2012.0,50000.0,17158
"/company/adeven",adeven,mobile,GBR,,London,London,/financial-organization/capnamic-ventures,Capnamic Ventures,,DEU,,Cologne,Cologne,series-b,6/20/13,2013-06,2013-Q2,2013.0,4300000.0,17237
"/company/atyr-pharma",aTyr Pharma,biotech,USA,CA,San Diego,San Diego,/financial-organization/cardinal-partners,Cardinal Partners,,USA,NJ,Princeton,Princeton,series-c+,9/15/09,2009-09,2009-Q3,2009.0,1.2E7,17308
"/company/atyr-pharma",aTyr Pharma,biotech,USA,CA,San Diego,San Diego,/financial-organization/cardinal-partners,Cardinal Partners,,USA,NJ,Princeton,Princeton,series-b,4/18/07,2007-04,2007-Q2,2007.0,1.05E7,17310
"/company/atyr-pharma",aTyr Pharma,biotech,USA,CA,San Diego,San Diego,/financial-organization/cardinal-partners,Cardinal Partners,,USA,NJ,Princeton,Princeton,series-c+,10/26/10,2010-10,2010-Q4,2010.0,2.3E7,17315
"/company/atyr-pharma",aTyr Pharma,biotech,USA,CA,San Diego,San Diego,/financial-organization/cardinal-partners,Cardinal Partners,,USA,NJ,Princeton,Princeton,series-c+,7/29/13,2013-07,2013-Q3,2013.0,4.9E7,17328
"/company/activ8-intelligence",activ8 Intelligence,software,GBR,,Farnsfield,Farnsfield,/financial-organization/catapult-venture-managers,Catapult Venture Managers,,GBR,,Leicester,Leicester,series-a,3/6/07,2007-03,2007-Q1,2007.0,1780000.0,17637
"/company/activ8-intelligence",activ8 Intelligence,software,GBR,,Farnsfield,Farnsfield,/financial-organization/catapult-venture-managers,Catapult Venture Managers,,GBR,,Leicester,Leicester,angel,3/29/13,2013-03,2013-Q1,2013.0,530008.0,17649
"/company/adealio",aDealio,ecommerce,USA,TX,Austin,Austin,/financial-organization/charles-river-ventures,Charles River Ventures,,USA,MA,Boston,Cambridge,angel,3/1/11,2011-03,2011-Q1,2011.0,500000.0,18179
"/company/afterbot",afterBOT,software,USA,GA,Atlanta,Norcross,/financial-organization/chrysalis-ventures,Chrysalis Ventures,,USA,KY,Louisville,Louisville,venture,4/23/09,2009-04,2009-Q2,2009.0,1570000.0,18477
"/company/avocarrot",avocarrot,mobile,GBR,,London,London,/financial-organization/collider12,Collider,,GBR,,London,London,angel,1/1/13,2013-01,2013-Q1,2013.0,161671.0,19279
"/company/argen-x",arGEN-X,biotech,NLD,,Rotterdam,Rotterdam,/financial-organization/credit-agricole-private-equity,Cr_dit Agricole Private Equity,,ITA,,Milano,Milano,series-a,2/11/10,2010-02,2010-Q1,2010.0,4500000.0,20361
"/company/argen-x",arGEN-X,biotech,NLD,,Rotterdam,Rotterdam,/financial-organization/credit-agricole-private-equity,Cr_dit Agricole Private Equity,,ITA,,Milano,Milano,series-b,12/1/11,2011-12,2011-Q4,2011.0,4.3849E7,20391
"/company/aboutme",about.me,web,USA,CA,SF Bay,San Francisco,/financial-organization/crunchfund,CrunchFund,,USA,CA,SF Bay,San Francisco,venture,2/5/13,2013-02,2013-Q1,2013.0,5675000.0,20837
"/company/aisle411",aisle411,mobile,USA,MO,Saint Louis,St. Louis,/financial-organization/cultivation-capital,Cultivation Capital,,USA,MO,Saint Louis,St. Louis,angel,9/5/12,2012-09,2012-Q3,2012.0,250000.0,20952
"/company/aisle411",aisle411,mobile,USA,MO,Saint Louis,St. Louis,/financial-organization/cultivation-capital,Cultivation Capital,,USA,MO,Saint Louis,St. Louis,series-a,9/4/13,2013-09,2013-Q3,2013.0,6500000.0,20958
"/company/aisle411",aisle411,mobile,USA,MO,Saint Louis,St. Louis,/financial-organization/cultivation-capital,Cultivation Capital,,USA,MO,Saint Louis,St. Louis,venture,7/1/12,2012-07,2012-Q3,2012.0,2000000.0,20959
"/company/acommerce",aCommerce,ecommerce,THA,,unknown,"Silom, Bankok",/financial-organization/cyberagent,CyberAgent,,JPN,,Tokyo,Tokyo,venture,12/19/13,2013-12,2013-Q4,2013.0,3100000.0,21055
"/company/auctionpal",auctionPAL,ecommerce,USA,MA,Boston,Waltham,/financial-organization/dace-ventures,Dace Ventures,,USA,MA,Boston,Waltham,series-a,3/1/07,2007-03,2007-Q1,2007.0,2400000.0,21119
"/company/agmi-systems",ag��mi Systems,hardware,USA,CA,SF Bay,Sunnyvale,/financial-organization/dag-ventures,DAG Ventures,,USA,CA,SF Bay,Palo Alto,series-c+,11/21/07,2007-11,2007-Q4,2007.0,5.0E7,21216
"/company/atyr-pharma",aTyr Pharma,biotech,USA,CA,San Diego,San Diego,/financial-organization/domain-associates,Domain Associates,,USA,NJ,Princeton,Princeton,series-c+,10/26/10,2010-10,2010-Q4,2010.0,2.3E7,22608
"/company/atyr-pharma",aTyr Pharma,biotech,USA,CA,San Diego,San Diego,/financial-organization/domain-associates,Domain Associates,,USA,NJ,Princeton,Princeton,series-c+,7/29/13,2013-07,2013-Q3,2013.0,4.9E7,22641
"/company/abaxx-technology",abaXX Technology,software,DEU,,Stuttgart,Stuttgart,/financial-organization/earlybird-venture-capital,Earlybird Venture Capital,,DEU,,Berlin,Berlin,series-c+,3/9/06,2006-03,2006-Q1,2006.0,4540000.0,23719
"/company/argen-x",arGEN-X,biotech,NLD,,Rotterdam,Rotterdam,/financial-organization/erasmus-mc-biomedical-fund,Erasmus MC Biomedical Fund,,NLD,,Rotterdam,Rotterdam,series-a,9/10/09,2009-09,2009-Q3,2009.0,1.36E7,25170
"/company/argen-x",arGEN-X,biotech,NLD,,Rotterdam,Rotterdam,/financial-organization/erasmus-mc-biomedical-fund,Erasmus MC Biomedical Fund,,NLD,,Rotterdam,Rotterdam,series-a,2/11/10,2010-02,2010-Q1,2010.0,4500000.0,25171
"/company/argen-x",arGEN-X,biotech,NLD,,Rotterdam,Rotterdam,/financial-organization/erasmus-mc-biomedical-fund,Erasmus MC Biomedical Fund,,NLD,,Rotterdam,Rotterdam,series-b,12/1/11,2011-12,2011-Q4,2011.0,4.3849E7,25172
"/company/argen-x",arGEN-X,biotech,NLD,,Rotterdam,Rotterdam,/financial-organization/forbion-capital-partners,Forbion Capital Partners,,NLD,,NAARDEN,Naarden,series-a,9/10/09,2009-09,2009-Q3,2009.0,1.36E7,27494
"/company/argen-x",arGEN-X,biotech,NLD,,Rotterdam,Rotterdam,/financial-organization/forbion-capital-partners,Forbion Capital Partners,,NLD,,NAARDEN,Naarden,series-a,2/11/10,2010-02,2010-Q1,2010.0,4500000.0,27496
"/company/argen-x",arGEN-X,biotech,NLD,,Rotterdam,Rotterdam,/financial-organization/forbion-capital-partners,Forbion Capital Partners,,NLD,,NAARDEN,Naarden,series-b,12/1/11,2011-12,2011-Q4,2011.0,4.3849E7,27511
"/company/adrise",adRise,advertising,USA,CA,SF Bay,San Francisco,/financial-organization/foundation-capital,Foundation Capital,,USA,CA,SF Bay,Menlo Park,venture,10/16/12,2012-10,2012-Q4,2012.0,2000000.0,27861
"/company/snowball-factory",awe.sm,analytics,USA,CA,SF Bay,San Francisco,/financial-organization/foundry-group,Foundry Group,,USA,CO,Denver,Boulder,venture,12/1/11,2011-12,2011-Q4,2011.0,4250000.0,28365
"/company/aboutme",about.me,web,USA,CA,SF Bay,San Francisco,/financial-organization/google-ventures,Google Ventures,,USA,CA,SF Bay,Mountain View,venture,2/5/13,2013-02,2013-Q1,2013.0,5675000.0,30651
"/company/appsfreedom",appsFreedom,enterprise,USA,AZ,Phoenix,Chandler,/financial-organization/grayhawk-venture-partners,Grayhawk Capital,,USA,AZ,Phoenix,Phoenix,series-a,1/25/13,2013-01,2013-Q1,2013.0,3000000.0,30946
"/company/ascentify",ascentify,software,CAN,,Ottawa,Ottawa,/financial-organization/growth-works,Growth Works,,CAN,,Vancouver,Vancouver,venture,12/1/05,2005-12,2005-Q4,2005.0,539000.0,31752
"/company/adfinitum-networks",adfinitum Networks,advertising,CAN,,Saint John's,St. John's,/financial-organization/growthworks,GrowthWorks Capital,,CAN,,Vancouver,Vancouver,venture,2/6/12,2012-02,2012-Q1,2012.0,542000.0,31808
"/company/aitainment",aitainment,games_video,DEU,,Bremen,Bremen,/financial-organization/high-tech-gruenderfonds,High-Tech Gruenderfonds,,DEU,,Bonn,Bonn,angel,4/26/07,2007-04,2007-Q2,2007.0,816000.0,32948
"/company/avtal24",avtal24,,SWE,,Stockholm,Stockholm,/financial-organization/industrifonden,Industrifonden,,SWE,,Stockholm,Stockholm,venture,12/7/12,2012-12,2012-Q4,2012.0,1497447.0,35481
"/company/agreement24-avtal24",agreement24 avtal24,legal,SWE,,Stockholm,Stockholm,/financial-organization/industrifonden,Industrifonden,,SWE,,Stockholm,Stockholm,venture,12/6/12,2012-12,2012-Q4,2012.0,1500000.0,35485
"/company/aiotv-inc",aioTV Inc.,news,USA,CO,Denver,Greenwood Village,/financial-organization/innovacorp,Innovacorp,,CAN,,Halifax,Halifax,series-a,10/1/11,2011-10,2011-Q4,2011.0,1000000.0,35778
