Timestamp,How would you rate your overall satisfaction with the Summer Academy this week?,How well is the schedule paced?
8/5/16 1:39,3,3
8/5/16 1:40,4,3
8/5/16 1:40,4,3
8/5/16 1:42,4,4
8/5/16 1:45,5,4
8/5/16 1:45,4,3
8/5/16 1:49,4,3
8/8/16 1:30,5,3
8/8/16 1:33,5,3
8/8/16 1:49,5,3
8/8/16 1:51,3,3
